id,name,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport
87,Cerences Centre,48.91686,-1.437824,9462,FR,Europe/Paris,FALSE,FALSE,FALSE
89,Reims,49.25,4.033333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
90,Reims Maison Blanche,49.2336853,4.0224927,89,FR,Europe/Paris,FALSE,FALSE,FALSE
91,Champagne-Ardenne TGV,49.214806,3.994632,89,FR,Europe/Paris,FALSE,FALSE,FALSE
92,Reims Ville,49.258978,4.024435,89,FR,Europe/Paris,FALSE,TRUE,FALSE
93,Laval,48.076206,-0.760907,4714,FR,Europe/Paris,TRUE,FALSE,FALSE
94,Accous,42.983333,-0.6,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
95,Achiet,50.1317525,2.780168,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
96,Louverne,48.133333,-0.7,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
97,Louverne,48.1088564,-0.7144109,96,FR,Europe/Paris,FALSE,TRUE,FALSE
98,Louverne Centre,48.12305356338282,-0.7199049,96,FR,Europe/Paris,FALSE,FALSE,FALSE
99,Mayenne,48.3,-0.616667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
100,Mayenne,48.30645522,-0.620588064,99,FR,Europe/Paris,FALSE,TRUE,FALSE
101,Mayenne Centre,48.299504040832794,-0.611339808,99,FR,Europe/Paris,FALSE,FALSE,FALSE
104,Arnage,47.933333,0.183333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
105,Arnage,47.9285663,0.1898826,104,FR,Europe/Paris,FALSE,TRUE,FALSE
106,Arnage Centre,47.937288,0.163801,104,FR,Europe/Paris,FALSE,FALSE,FALSE
107,Carnac,47.583333,-3.083333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
108,Plouharnel-Carnac,47.6042943,-3.1184482,107,FR,Europe/Paris,FALSE,FALSE,FALSE
109,Les Sables-Blancs,47.5755984,-3.1324467,107,FR,Europe/Paris,FALSE,FALSE,FALSE
110,Carnac,47.584558972342386,-3.082609177,107,FR,Europe/Paris,FALSE,TRUE,FALSE
111,St-Pierre-Quiberon,47.516667,-3.133333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
112,L'Isthme,47.5465051,-3.133699,111,FR,Europe/Paris,FALSE,FALSE,FALSE
113,St-Pierre-Quiberon,47.5210574,-3.138905,111,FR,Europe/Paris,FALSE,TRUE,FALSE
114,Metz,49.109545,6.1765930000000004,4827,FR,Europe/Paris,FALSE,TRUE,FALSE
115,Forbach,49.183333,6.9,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
117,Forbach,49.1892278,6.9013184,115,FR,Europe/Paris,FALSE,TRUE,FALSE
118,Sarreguemines,49.10995,7.067471,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
119,Sarreguemines Poste,49.110155,7.054923,118,FR,Europe/Paris,FALSE,FALSE,FALSE
121,Sarreguemines,49.1073357,7.0686398,118,FR,Europe/Paris,FALSE,TRUE,FALSE
122,Dunkerque,51.03047,2.368961,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
123,Lille-Flandres,50.636577,3.06987,4652,FR,Europe/Paris,FALSE,TRUE,FALSE
124,Haubourdin,50.6070495,2.990153,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
125,Tourcoing,50.71683,3.16804,5840,FR,Europe/Paris,FALSE,TRUE,FALSE
126,Nomain,50.5,3.25,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
127,Nomain-Ouvignies,50.5060755,3.2308175,126,FR,Europe/Paris,FALSE,FALSE,FALSE
128,Nomain,50.5023744,3.2063499,126,FR,Europe/Paris,FALSE,TRUE,FALSE
129,Croix,NA,NA,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
130,Croix-Wasquehal,50.6785574,3.1380315,129,FR,Europe/Paris,FALSE,TRUE,FALSE
131,Croix-l'Allumette,50.6872009,3.1516591,129,FR,Europe/Paris,FALSE,FALSE,FALSE
132,Roubaix,50.69561,3.16348,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
136,Jeumont,50.3,4.1,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
137,Jeumont,50.29606,4.08645,136,FR,Europe/Paris,FALSE,TRUE,FALSE
139,Bellegarde-sur-Valserine,46.107874,5.824213,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
140,Bellegarde-sur-Valserine,46.109425,5.823483,139,FR,Europe/Paris,FALSE,TRUE,FALSE
141,Bellegarde-sur-Valserine Lycee Musinens,46.115336,5.794132,139,FR,Europe/Paris,FALSE,FALSE,FALSE
143,Briouze,48.7018622,-0.3682036,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
148,Calais Ville,50.952613,1.848185,1417,FR,Europe/Paris,FALSE,TRUE,FALSE
149,Boulogne-sur-Mer Ville,50.7157,1.60964,5758,FR,Europe/Paris,FALSE,TRUE,FALSE
150,Allenc,44.541296,3.6638926,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
151,Pau,43.291762,-0.369626,5006,FR,Europe/Paris,FALSE,TRUE,FALSE
152,Hendaye,43.353132,-1.781724,5785,FR,Europe/Paris,TRUE,FALSE,FALSE
153,Strasbourg,48.584967,7.734584,5260,FR,Europe/Paris,FALSE,TRUE,FALSE
154,Mertzwiller,48.866667,7.683333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
155,Mertzwiller,48.872013,7.6781895,154,FR,Europe/Paris,FALSE,TRUE,FALSE
157,Colmar,48.073201,7.346967,1349,FR,Europe/Paris,FALSE,TRUE,FALSE
158,Mulhouse,47.742224,7.342396,4753,FR,Europe/Paris,TRUE,FALSE,FALSE
159,St-Louis (Haut Rhin),47.583333,7.566667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
